% of ORM,Actual Wt (lbs),Gym Wt (lbs),Wt to Put On (lbs),Reps
100%,,,,1
95%,,,,2
90%,,,,4
85%,,,,6
80%,,,,8
75%,,,,10
70%,,,,12
65%,,,,16
60%,,,,20
55%,,,,24
50%,,,,30
